অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
সম্মিলিতভাবে	shommilitovabe	sammilitabhabe	shommilito-vabe	sammilita-bhabe	shommilitovabe
সম্মোহনপ্রবণ	shommohonprobon	sammohanaprabon	shommohon-probon	sammohana-praban	shommohonprobon
সম্ভাব্যপ্রার্থী	shombhabbyoprarthi	sambhavyaprarthi	shombhabbo-prarthi	sambhavya-prarthi	shombhabbyoprarthi
সম্ভাব্যপরিণতি	shombhabbyoporinoti	sambhavyaparinati	shombhabbo-porinoti	sambhavya-parinati	shombhabbyoporinoti
সম্বন্ধযুক্ত	shombondhojukto	sambandhayukto	shombondho-jukto	sambandha-yukta	shombondhojukto
সম্রাটবাহাদুর	shomratbahadur	samratbahadur	shomrat-bahadur	samrat-bahadur	shomratbahadur
সর্বজনস্বীকৃত	shorbojonshshikrito	sarbajanaswikrito	shorbojon-shshikrito	sarbajana-swikrita	shorbojonshshikrito
সর্বনাশাপন্ন	shorbonashaponno	sarbanashaponno	shorbonasha-ponno	sarvanasha-panna	shorbonashaponno
সর্বোচ্চপর্যায়	shorbocchoporjay	sarbochchaparyay	shorboccho-porjay	sarvachcha-paryaya	shorbocchoporjay
সহমর্মিতাপূর্ণ	shohomormitapurno	sahamarmitapurna	shoho-mormita-purno	saha-marmita-purna	shohomormitapurno
সাংগঠনিকভাবে	shanggothonikvabe	sanggothonikabhabe	shanggothoniko-vabe	sanggothanika-bhabe	shanggothonikvabe
সাক্ষ্যভিত্তিক	shakkhobhittik	sakshyabhittik	shakkho-bhittik	sakshya-bhittik	shakkhobhittik
সাম্প্রদায়িকসম্প্রীতি	shamprodayikshompriti	sampradayikasampriti	shamprodayik-shompriti	sampradayika-sampriti	shamprodayikshompriti
সার্বিকপর্যালোচনা	sharbikoporjalochona	sarvikaparyalochana	sharbiko-porjalochona	sarvika-paryalocana	sharbikoporjalochona
সীমাবদ্ধতাজনিত	shimaboddhotajonito	simabaddhatajanita	shima-boddhota-jonito	sima-baddhata-janita	shimaboddhotajonito
সুপরিচালিত	suporichalito	suparichalito	su-porichalito	su-parichalita	suporichalito
সুপ্রযুক্তব্যবস্থা	suprojuktoBebostha	suprayuktabyabastha	su-projukto-bebostha	su-prayukta-byabastha	suprojuktoBebostha
সুসমন্বিত	shushomonbito	susamanwito	su-shomonbito	su-samanvita	shushomonbito
সৃষ্টিশীলপ্রতিভা	srishtishilprotibha	srishtishilapratibha	srishti-shil-protibha	srishti-shila-pratibha	srishtishilprotibha
স্থলভাগসংক্রান্ত	stholvagshongkranto	sthalabhagasamkranta	stholo-bhag-shongkranto	sthala-bhaga-samkranta	stholvagshongkranto
স্থাপত্যকলাবিদ্যা	sthapottyokolabiddya	sthapatyakalabidya	sthapottyo-kola-biddya	sthapatya-kala-vidya	sthapottyokolabiddya
স্পষ্টীকরণযোগ্য	spostikoronjoggo	spashtikaranayogya	spostikoroN-joggo	spashtikarana-yogya	spostikoronjoggo
স্পর্ধাপূর্ণ	spordhapurno	spardhapurno	spordha-purno	spardha-purna	spordhapurno
স্ফটিকীকরণ	sphotikikoron	sphatikikaran	sphotiki-koron	sphatikikarana	sphotikikoron
স্মৃতিবিজড়িত	smritibijorito	smritibijorito	smriti-bijorito	smriti-vijarita	smritibijorito
স্মরণশীলতা	smoronshilota	smaranashilata	smoron-shilota	smarana-shilata	smoronshilota
স্বকীয়তাবোধ	shwokiyotabodh	swakiyatabodh	shwokiyota-bodh	swakiyata-bodha	shwokiyotabodh
স্বনিয়ন্ত্রিত	swoniyontrito	swaniyontrito	swoni-yontrito	swaniyantrita	swoniyontrito
স্বপ্নচারী	shopnochar i	swapnachari	shopno-chari	swapna-chari	shopnochari
স্বল্পসংখ্যক	sholposhongkhok	swalpasankhyak	sholpo-shongkhok	swalpa-sankhyaka	sholposhongkhok
স্বাস্থ্যসুরক্ষা	shasthyosurakkha	swasthyasuraksha	shasthyo-surakkha	swasthya-suraksha	shasthyosurakkha
হস্তনির্মিত	hostonirmito	hastanirmita	hosto-nirmito	hasta-nirmita	hostonirmito
হৃদয়স্পর্শী	hridoysporshi	hridayasparshi	hridoy-sporshi	hridaya-sparshi	hridoysporshi
হ্রাসবর্ধন	hrashbordhon	hrasavardhan	hrash-bordhon	hrasa-vardhan	hrashbordhon
অগ্রসরমান	ogrosorman	agrosarman	ogro-sorman	agrosaraman	ogrosorman
অগ্রহণযোগ্য	ogrohonjoggo	agrahanayogya	ogrohon-joggo	agrahana-yogya	ogrohonjoggo
অগ্রাধিকারভিত্তিক	ogrodhikarbhittik	agradhikarabhittik	ogro-dhikar-bhittik	agradhikara-bhittik	ogrodhikarbhittik
অচিন্তনীয়	ochintoniyo	achintanIya	ochintoniyo	achintaniya	ochintoniyo
অচিরস্থায়ী	ochirosthayi	achirasthayi	ochiro-sthayi	achira-sthayi	ochirosthayi
অজ্ঞাতপরিচয়	oggatoporichoy	agnyataparichoy	oggato-porichoy	ajnyata-parichaya	oggatoporichoy
অজ্ঞাতসারেই	oggatosarei	agnyatasarei	oggato-sarei	ajnyata-sarei	oggatosarei
অতিমানবীয়	otimanobiyo	atimanaviya	oti-manobiyo	atimanaviya	otimanobiyo
অতিসংবেদনশীল	otishongbedonshil	atisangbedanashil	oti-shongbedon-shil	atisangbedanashil	otishongbedonshil
অধিকারবঞ্চিত	odhikarbonchito	adhikarabanchito	odhikar-bonchito	adhikara-banchita	odhikarbonchito
অধিদফতরসমূহ	odhidoptorshomuho	adhidaptarasamuha	odhi-doptor-shomuho	adhidaptara-samuha	odhidoptorshomuho
অধীনতামূলক	odhinotamulok	adhinatamulaka	odhinota-mulok	adhinata-mulaka	odhinotamulok
অনাক্রম্যতা	onakrommota	anakramyata	on-akrommo-ta	anakramyata	onakrommota
অনিবার্যপরিণতি	onibarjoporinoti	anibaryaparinati	onibarjo-porinoti	anibarya-parinati	onibarjoporinoti
অনুবাদযোগ্য	onubadjoggo	anubadayogya	onubad-joggo	anubada-yogya	onubadjoggo
অনুসরণযোগ্য	onushoronJoggo	anusaranayogya	onushoron-joggo	anusarana-yogya	onushoronJoggo
অনুস্বরণধ্বনি	onushshorondhwoni	anuswarandhwani	onushshoron-dhwoni	anuswarana-dhwani	onushshorondhwoni
অনুপ্রবেশাধিকার	onuprobeshadhikar	anuprabeshadhikar	onuprobesh-adhikar	anuprabesha-adhikara	onuprobeshadhikar
অনুপাতনির্ভর	onupatonirvor	anupatanirbhar	onupato-nirvor	anupata-nirbhar	onupatonirvor
অনুরোধক্রমে	onurodhkrome	anurodhakrame	onurodh-krome	anurodha-krame	onurodhkrome
অন্তর্নির্মিত	ontornirmito	antarnirmito	ontor-nirmito	antar-nirmita	ontornirmito
অন্তর্মহল	ontormohol	antarmahal	ontor-mohol	antar-mahal	ontormohol
অন্তর্বর্তীকালে	ontorbortikale	antarvartikale	ontor-borti-kale	antar-varti-kale	ontorbortikale
অন্তর্ভুক্তিকরণ	ontorbhuktikoron	antarbhuktikaran	ontor-bhukti-koron	antarbhukti-karana	ontorbhuktikoron
অপরাজেয়তা	oporajeyota	aparajeyata	oporajeyo-ta	aparajeyata	oporajeyota
অপরিহার্যভাবে	oporiharjovabe	apariharyabhabe	opori-harjo-vabe	apariharya-bhabe	oporiharjovabe
অপেক্ষাকৃত	opekkhakrito	apekshakrita	opekkha-krito	apeksha-krita	opekkhakrito
অপমানসূচক	opomansuchok	apamanasuchaka	opoman-suchok	apamana-suchaka	opomansuchok
অপ্রচলিত	oprocholito	aprachalito	opro-cholito	aprachalita	oprocholito
অপ্রতুলসংখ্যক	oprotulshongkhok	apratulasankhyaka	oprotul-shongkhok	apratula-sankhyaka	oprotulshongkhok
অপ্রত্যক্ষভাবে	oprottokkhvabe	apratyakshabhabe	oprottokkho-vabe	apratyaksha-bhabe	oprottokkhvabe
অপ্রতিরুদ্ধ	oprotiruddho	apratiruddha	oproti-ruddho	apratiruddha	oprotiruddho
অপ্রমাণিত	opromAnito	apramanita	opromAnito	apramanita	opromAnito
অপ্রয়োজনীয়তা	oproyojoniyota	aprayojaniyata	oproyojoniyo-ta	aprayojaniyata	oproyojoniyota
অবকাঠামোনির্ভর	obokathamonirvor	abakathamonirbhar	obokathamo-nirvor	abakathamo-nirbhar	obokathamonirvor
অবকৃষ্টমানের	obokrishtomaner	abakrishtamaner	obo-krishto-maner	abakrishta-maner	obokrishtomaner
অবদমিতকরণ	obodomitokoron	abadamitakaran	obo-domito-koron	abadhamita-karana	obodomitokoron
অবধারণাযোগ্য	obodharonJoggo	abadharanayogya	obodharon-joggo	abadharana-yogya	obodharonJoggo
অবনমিতাংশ	obonomitangsho	abanamitansha	obonomito-angsho	abanamita-ansha	obonomitangsho
অবলুপ্তপ্রায়	oboluptopray	abalutapray	obolupto-pray	abalupata-praya	oboluptopray
অবাঞ্ছনীয়	obanchhoniyo	abanchhaniya	obanchhoniyo	abanchhaniya	obanchhoniyo
অবিচলপ্রত্যয়	obicholprottay	abichalapratyaya	obichol-prottay	abichala-pratyaya	obicholprottay
অবিশ্বাসপ্রবণ	obishshashprobon	abishwasaprabon	obishshash-probon	abishwasa-praban	obishshashprobon
অবিস্মরণীয়	obismoroniyo	abismaraniya	obismoroniyo	abismaraniya	obismoroniyo
অবৈধঘোষিত	oboidhooghoshito	abaidhaghoshita	oboidho-ghoshito	abaidhya-ghoshita	oboidhooghoshito
অভিন্নতাবোধ	obhinnatabodh	abhinnatabodh	obhinno-ta-bodh	abhinna-ta-bodha	obhinnatabodh
অভিনবত্বপূর্ণ	obhinobottopurno	abhinabatwapurna	obhinobo-tto-purno	abhinaba-twa-purna	obhinobottopurno
অভিপ্রেতফলাফল	obhipretofolafol	abhipreta-phalaphal	obhipreto-folafol	abhipreta-phala-phal	obhipretofolafol
অভিবাসনপ্রবণ	obhibashonprobon	abhibasanaprabon	obhibashon-probon	abhibasana-praban	obhibashonprobon
অভ্যুত্থানপরবর্তী	obhyutthanporoborti	abhyutthanaparabarti	obhyutthan-poroborti	abhyutthana-paravarti	obhyutthanporoborti
অমীমাংসাযোগ্য	omimangshajoggo	amimangsayogya	omimangsha-joggo	amimangsa-yogya	omimangshajoggo
অমৃতসঞ্জীবনী	omritosonjjiboni	amritasanjivani	omrito-sonjjiboni	amrita-sanjivani	omritosonjjiboni
অর্থনৈতিকমন্দা	orthonoitikmondA	arthanaitikamanda	orthonoitiko-monda	arthanaitika-manda	orthonoitikmondA
অর্থসংকটাপন্ন	orthoshongkotaponno	arthasankatapanNa	ortho-shongkoto-ponno	artha-sankata-panna	orthoshongkotaponno
অলংকারশাস্ত্র	olongkarshastro	alankarashastra	olongkar-shastro	alankara-shastra	olongkarshastro
অশিক্ষিতজনগণ	oshikkhitojonogon	ashikshitajanagan	oshikkhito-jono-gon	ashikshita-jana-gan	oshikkhitojonogon
অসন্তোষপ্রকাশ	oshontoshprokash	asantoshaprakash	oshontosh-prokash	asantosha-prakash	oshontoshprokash
অসামঞ্জস্যতা	oshamonjoshshota	asamanjasyata	oshamonjoshsho-ta	asamanjasya-ta	oshamonjoshshota
অস্বাভাবিকতা	oshshabhabikota	aswabhavikata	oshshabhabiko-ta	aswabhavika-ta	oshshabhabikota
আকাঙ্ক্ষিতফল	akankkhitofol	akankshitaphal	akankkhito-fol	akankshita-phal	akankkhitofol
আক্রমণপ্রবণতা	akromonprobOnota	akramanaprabonata	akromon-probonota	akramana-prabanata	akromonprobOnota
আগ্রহভিত্তিক	agrohobhittik	agrahabhittik	agroho-bhittik	agraha-bhittik	agrohobhittik
আত্মকেন্দ্রিকতা	attokendrikota	atmakendrikata	atto-kendrika-ta	atma-kendrika-ta	attokendrikota
আত্মজীবনীমূলক	attojibonimulok	atmajibanimulaka	atto-jiboni-mulok	atma-jibani-mulaka	attojibonimulok
আত্মরক্ষার্থে	attorokkharthe	atmaraksharthe	atto-rokkh-arthe	atma-raksharthe	attorokkharthe
আত্মসমর্পণকারী	attosomorponkari	atmasamarpanakari	atto-somorpon-kari	atma-samarpana-kari	attosomorponkari
আত্মহীনতাবোধ	attohinotabodh	atmahinatabodh	atto-hinota-bodh	atmahinata-bodha	attohinotabodh
আন্তঃপ্রাতিষ্ঠানিক	antopratishthanik	antahpratishthanik	onto-protishthanik	antah-pratishthanik	antopratishthanik
আন্তঃব্যক্তিক	antorbektik	antarbyaktik	antor-bektik	antar-byaktik	antorbektik
আন্তঃবিষয়কতা	antorbishoyokota	antarvishayakata	antor-bishoyoko-ta	antar-vishayaka-ta	antorbishoyokota
আবিষ্কারপ্রবণ	abishkarprobon	avishkaraprabon	abishkar-probon	avishkara-praban	abishkarprobon
আবেগপ্রবণতা	abegprobOnota	abegaprabonata	abeg-probonota	abega-prabanata	abegprobOnota
আয়ত্তসাধ্য	ayottoshaddho	ayattasadhya	ayotto-shaddho	ayatta-sadhya	ayottoshaddho
ইতিবাচকপ্রভাব	itibachokprobhab	itibachakaprabhav	itibachok-probhab	itibachaka-prabhav	itibachokprobhab
ইতিহাসসম্মত	itihasshommoto	itihasasammata	itihash-shommoto	itihasa-sammata	itihasshommoto
ইন্দ্রিয়গ্রাহ্যতা	indriyograhhota	indriyagrahyata	indriyo-grahho-ta	indriya-grahya-ta	indriyograhhota
ইচ্ছাকৃতভাবে	icchakritovabe	ichchakritabhabe	iccha-krito-vabe	ichcha-krita-bhabe	icchakritovabe
উচ্চক্ষমতাসম্পন্ন	ucchokhomotashompanno	uchchakshamatasampanna	uccho-khomota-shompanno	uchcha-kshamata-sampanna	ucchokhomotashompanno
উচ্চতরশিক্ষা	ucchotoroshikkha	uchchatarashiksha	ucchotoro-shikkha	uchchatara-shiksha	ucchotoroshikkha
উচ্ছ্বাসপ্রকাশ	ucchhashprokash	uchchhwasa-prakash	ucchhash-prokash	uchchhwasa-prakash	ucchhashprokash
উৎকণ্ঠামুক্ত	utkonThamukto	utkanthamukto	utkonTha-mukto	utkantha-mukta	utkonThamukto
উৎপাদনব্যয়	utpadonbBoy	utpadanabyay	utpadon-bBoy	utpadana-byay	utpadonbBoy
উৎপাদনশীলতা	utpadonshilota	utpadanashilata	utpadon-shilota	utpadana-shilata	utpadonshilota
উদ্ভাবনক্ষমতা	udbhabonkhomota	udbhabanakshamata	udbhabon-khomota	udbhabana-kshamata	udbhabonkhomota
উদ্দেশ্যনির্ভর	uddeshshonirvor	uddeshyanirbhar	uddeshsho-nirvor	uddeshya-nirbhar	uddeshshonirvor
উদ্যোগগ্রহণ	uddoggrohon	uddyogagrahan	uddog-grohon	uddyoga-grahana	uddoggrohon
উদ্ধৃতিযোগ্য	uddhritojoggo	uddhritayogya	uddhrito-joggo	uddhrita-yogya	uddhritojoggo
উন্নয়নপরিকল্পনা	unnoyonporikolpona	unnayanaparikalpana	unnoyon-porikolpona	unnayana-parikalpana	unnoyonporikolpona
উন্মুক্তবিশ্ববিদ্যালয়	unmuktobishshobiddaloy	unmuktavishwavidyalay	unmukto-bishsho-biddaloy	unmukta-vishwa-vidyalay	unmuktobishshobiddaloy
উপকারিতাভিত্তিক	upokaritabhittik	upakaritabhittik	upokarita-bhittik	upakarita-bhittik	upokaritabhittik
উপযুক্তপরিবেশ	upojuktoporibesh	upayuktaparibesh	upojukto-poribesh	upayukta-paribesh	upojuktoporibesh
উপনিবেশস্থাপন	uponibeshsthapon	upanibeshastapan	uponibesh-sthapon	upanibesha-sthapan	uponibeshsthapon
উপস্থাপকমণ্ডলী	uposthapokmondoli	upasthapakamandali	uposthapok-mondoli	upasthapaka-mandali	uposthapokmondoli
উপসর্গসংক্রান্ত	uposorgoshongkranto	upasargasamkranta	uposorgo-shongkranto	upasarga-samkranta	uposorgoshongkranto
ঊর্ধ্বগামীপ্রবণতা	urdhwogamiprobOnota	urdhwagamiprabonata	urdhwo-gami-probonota	urdhwa-gami-prabanata	urdhwogamiprobOnota
ঋণাত্মকপ্রভাব	rinattokprobhab	rinatmakaprabhav	rin-attok-probhab	rinatmaka-prabhav	rinattokprobhab
একচ্ছত্রক্ষমতা	ekocchotrokhomota	ekachchhatrakshamata	ekocchotro-khomota	ekachchhatra-kshamata	ekocchotrokhomota
একনিষ্ঠপ্রচেষ্টা	ekonishthoprocheshta	ekanishthapracheshta	ekonishtho-procheshta	ekanishtha-pracheshta	ekonishthoprocheshta
একাধিকভাষায়	ekadhikobhashay	ekadhikabhashay	ekadhiko-bhashay	ekadhika-bhashay	ekadhikobhashay
ঐক্যবদ্ধপ্রচেষ্টা	oikkoboddhoprocheshta	aikyabaddhapracheshta	oikko-boddho-procheshta	aikya-baddha-pracheshta	oikkoboddhoprocheshta
ঐতিহ্যবাহীস্থাপনা	oitihashbahisthapona	aitihyabahisthapana	oitiho-bahi-sthapona	aitihya-bahi-sthapana	oitihashbahisthapona
কক্ষনিয়ন্ত্রণব্যবস্থা	kokkhoniyontronbebostha	kakshaniyantranabyabastha	kokkho-niyontron-bebostha	kaksha-niyantrana-byabastha	kokkhoniyontronbebostha
কণ্ঠস্বরপরিবর্তন	konthosworporiborton	kanthaswaraparibartan	kontho-swor-poriborton	kantha-swara-parivartan	konthosworporiborton
কর্তব্যনির্ধারণ	kortobbonirdharon	kartabyanirdharan	kortobbo-nirdharon	kartabya-nirdharana	kortobbonirdharon
কর্মক্ষমতাবৃদ্ধি	kormokhomotabriddhi	karmakshamatavriddhi	kormo-khomota-briddhi	karma-kshamata-vriddhi	kormokhomotabriddhi
কর্মপ্রবাহব্যবস্থা	kormoprobahbebostha	karmaprabahabyabastha	kormo-probah-bebostha	karma-prabaha-byabastha	kormoprobahbebostha
কর্মসংস্থানের	kormoshongsthaner	karmasangsthaner	kormo-shongsthaner	karma-sangsthaner	kormoshongsthaner
কল্পনাতীতভাবে	kolponatitovabe	kalpanatitabhabe	kolpona-atito-vabe	kalpana-atita-bhabe	kolponatitovabe
কৃতিত্বস্বীকৃতি	kritittoshshikriti	krititwaswikriti	krititto-shshikriti	krititwa-swikriti	kritittoshshikriti
কৃত্রিমউপগ্রহ	kritrimoupogroho	kritrimaupagraha	kritrimo-upogroho	kritrima-upagraha	kritrimoupogroho
কৃষ্ণাঙ্গসম্প্রদায়	krishnanggoshomproday	krishnangasampraday	krishnanggo-shomproday	krishnanga-sampraday	krishnanggoshomproday
